-nan	+- -nan
0.962446	+- 0.000116
0.962349	+- 0.000288
0.962213	+- 0.000749
0.961177	+- 0.001959
0.960335	+- 0.005115
0.960501	+- 0.013519
1.043750	+- 0.038076
1.003843	+- 0.100408
0.935718	+- 0.223609
-nan	+- -nan
0.746676	+- 0.533733
-nan	+- -nan
1.416160	+- 1.716794
-nan	+- -nan
1.352964	+- 1.681881
-nan	+- -nan
0.391361	+- 0.829260
-nan	+- -nan
-nan	+- -nan
-nan	+- -nan
-nan	+- -nan
-nan	+- -nan
1.251014	+- 2.324363
-nan	+- -nan
-nan	+- -nan
2.312806	+- 13.279459
-nan	+- -nan
-nan	+- -nan
0.406131	+- 0.793468
-nan	+- -nan
0.613379	+- 0.978436
0.143475	+- 5.108736
0.613379	+- 0.978436
-nan	+- -nan
0.406131	+- 0.793468
-nan	+- -nan
-nan	+- -nan
2.312806	+- 13.279459
-nan	+- -nan
-nan	+- -nan
1.251014	+- 2.324363
-nan	+- -nan
-nan	+- -nan
-nan	+- -nan
-nan	+- -nan
-nan	+- -nan
0.391361	+- 0.829260
-nan	+- -nan
1.352964	+- 1.681881
-nan	+- -nan
1.416160	+- 1.716794
-nan	+- -nan
0.746676	+- 0.533733
-nan	+- -nan
0.935718	+- 0.223609
1.003843	+- 0.100408
1.043750	+- 0.038076
0.960501	+- 0.013519
0.960335	+- 0.005115
0.961177	+- 0.001959
0.962213	+- 0.000749
0.962349	+- 0.000288
0.962446	+- 0.000116
